category,PATH,over_represented_pvalue,padj,under_represented_pvalue,numDEInCat,numInCat,main,type,enrich,organism
09102,09102 Energy metabolism,3.282368902654423e-5,5.908264024777961e-4,0.9999878857821838,33,120,09100 Metabolism,significant,sub,HOT1A3
09109,09109 Metabolism of terpenoids and polyketides,0.023933123845262364,0.1702552215171219,0.9931803177105933,7,25,09100 Metabolism,significant,sub,HOT1A3
09110,09110 Biosynthesis of other secondary metabolites,0.028375870252853652,0.1702552215171219,0.9916128410579844,7,25,09100 Metabolism,significant,sub,HOT1A3
09108,09108 Metabolism of cofactors and vitamins,0.049021981506311596,0.22059891677840218,0.9711855156863368,24,139,09100 Metabolism,significant,sub,HOT1A3
09103,09103 Lipid metabolism,0.1053868446231764,0.3793926406434351,0.9600317437131041,6,26,09100 Metabolism,significant,sub,HOT1A3
09131,09131 Membrane transport,0.23205148546889556,0.6961544564066867,0.8729613892950552,8,46,09130 Environmental Information Processing,significant,sub,HOT1A3
09132,09132 Signal transduction,0.3454140448252263,0.8359974531742138,0.816971088360406,5,31,09130 Environmental Information Processing,significant,sub,HOT1A3
09145,09145 Cellular community - prokaryotes,0.3816223997046211,0.8359974531742138,0.806302715533511,4,25,09140 Cellular Processes,significant,sub,HOT1A3
09101,09101 Carbohydrate metabolism,0.4179987265871069,0.8359974531742138,0.7009674172466559,12,91,09100 Metabolism,significant,sub,HOT1A3
09124,09124 Replication and repair,0.46736087778904056,0.8412495800202731,0.715710026444442,5,39,09120 Genetic Information Processing,significant,sub,HOT1A3
09143,09143 Cell growth and death,0.6270621932023152,0.9664173241887649,0.6617924750294892,2,17,09140 Cellular Processes,significant,sub,HOT1A3
09107,09107 Glycan biosynthesis and metabolism,0.6886057436180534,0.9664173241887649,0.5111226778348006,4,37,09100 Metabolism,significant,sub,HOT1A3
09105,09105 Amino acid metabolism,0.7060997091966977,0.9664173241887649,0.4074854340062235,12,109,09100 Metabolism,significant,sub,HOT1A3
09106,09106 Metabolism of other amino acids,0.7516579188134838,0.9664173241887649,0.46170832076284307,3,32,09100 Metabolism,significant,sub,HOT1A3
09104,09104 Nucleotide metabolism,0.8491937527234339,0.9678964522318483,0.2791729564566343,5,56,09100 Metabolism,significant,sub,HOT1A3
09111,09111 Xenobiotics biodegradation and metabolism,0.8603524019838651,0.9678964522318483,0.4359382804034785,1,14,09100 Metabolism,significant,sub,HOT1A3
09123,"09123 Folding, sorting and degradation",0.9399850004398934,0.9952782357598872,0.18027774575031477,2,33,09120 Genetic Information Processing,significant,sub,HOT1A3
09122,09122 Translation,0.9999963269473335,0.9999963269473335,5.4807835119019144e-5,1,78,09120 Genetic Information Processing,significant,sub,HOT1A3
09102,09102 Energy metabolism,6.541033587057514e-7,1.1773860456703524e-5,0.9999998486230055,23,120,09100 Metabolism,down,sub,HOT1A3
09110,09110 Biosynthesis of other secondary metabolites,7.670942771597831e-4,0.006903848494438048,0.9998882775642058,7,25,09100 Metabolism,down,sub,HOT1A3
09103,09103 Lipid metabolism,0.005523392480491773,0.03314035488295064,0.9989726515086058,6,26,09100 Metabolism,down,sub,HOT1A3
09109,09109 Metabolism of terpenoids and polyketides,0.07152407770561983,0.32185834967528926,0.9811906170731541,4,25,09100 Metabolism,down,sub,HOT1A3
09101,09101 Carbohydrate metabolism,0.10382062921681881,0.3737542651805477,0.9501969776828827,9,91,09100 Metabolism,down,sub,HOT1A3
09108,09108 Metabolism of cofactors and vitamins,0.1773766230147649,0.5321298690442947,0.895272753556905,12,139,09100 Metabolism,down,sub,HOT1A3
09105,09105 Amino acid metabolism,0.2545503220258034,0.6545579709234945,0.8493409791996875,9,109,09100 Metabolism,down,sub,HOT1A3
09145,09145 Cellular community - prokaryotes,0.46547385770181243,0.8461000238367996,0.8010333373115472,2,25,09140 Cellular Processes,down,sub,HOT1A3
09131,09131 Membrane transport,0.5784610027884334,0.8461000238367996,0.6561231784398526,3,46,09130 Environmental Information Processing,down,sub,HOT1A3
09106,09106 Metabolism of other amino acids,0.5967465753047645,0.8461000238367996,0.6850493521970533,2,32,09100 Metabolism,down,sub,HOT1A3
09111,09111 Xenobiotics biodegradation and metabolism,0.6118877219577263,0.8461000238367996,0.7695892278440462,1,14,09100 Metabolism,down,sub,HOT1A3
09132,09132 Signal transduction,0.6131527680313281,0.8461000238367996,0.6689414771110451,2,31,09130 Environmental Information Processing,down,sub,HOT1A3
09124,09124 Replication and repair,0.6385978239004769,0.8461000238367996,0.6404180453690049,2,39,09120 Genetic Information Processing,down,sub,HOT1A3
09143,09143 Cell growth and death,0.6670121687881757,0.8461000238367996,0.7129545158171859,1,17,09140 Cellular Processes,down,sub,HOT1A3
09107,09107 Glycan biosynthesis and metabolism,0.7050833531973331,0.8461000238367996,0.564914084643275,2,37,09100 Metabolism,down,sub,HOT1A3
09104,09104 Nucleotide metabolism,0.8816795639016783,0.9918895093893881,0.2978941294566315,2,56,09100 Metabolism,down,sub,HOT1A3
