category,over_represented_pvalue,padj,under_represented_pvalue,numDEInCat,numInCat,type,enrich,contrast,organism,main,sub,module,Category,PATH,pathway,path
09105,1.3051759387315556e-5,3.5239750345752004e-4,0.9999946127581213,48,170,is_de,sub,C2vsC1_prot,HOT1A3,09100 Metabolism,09105 Amino acid metabolism,Amino acid,AA/Nucleotide,09105 Amino acid metabolism,Amino acid metabolism,NA
09122,3.478905890190368e-5,4.696522951756997e-4,0.9999893153859886,25,76,is_de,sub,C2vsC1_prot,HOT1A3,09120 Genetic Information Processing,09122 Translation,Translation,Genetic Info,09122 Translation,Translation,NA
09102,0.00926214906013199,0.08335934154118792,0.9954703414985904,25,96,is_de,sub,C2vsC1_prot,HOT1A3,09100 Metabolism,09102 Energy metabolism,Energy,Energy/Carbohydrate/Glycan,09102 Energy metabolism,Energy metabolism,NA
09101,0.06715705464473434,0.4094735356611019,0.9557338011223407,37,165,is_de,sub,C2vsC1_prot,HOT1A3,09100 Metabolism,09101 Carbohydrate metabolism,Carbohydrate,Energy/Carbohydrate/Glycan,09101 Carbohydrate metabolism,Carbohydrate metabolism,NA
09183,0.07582843252983368,0.4094735356611019,0.9438658696995095,77,377,is_de,sub,C2vsC1_prot,HOT1A3,09180 Brite Hierarchies,09183 Protein families: signaling and cellular processes,Protein families: signaling and cellular processes,Env. Info/Cellular Process,09183 Protein families: signaling and cellular processes,Protein families: signaling and cellular processes,NA
09142,0.169758609140806,0.7456718532262137,0.9033017905390576,12,54,is_de,sub,C2vsC1_prot,HOT1A3,09140 Cellular Processes,09142 Cell motility,Cell motility,Motility,09142 Cell motility,Cell motility,NA
09192,0.20690285905914624,0.7456718532262137,0.9225490567354538,4,17,is_de,sub,C2vsC1_prot,HOT1A3,09190 Not Included in Pathway or Brite,09192 Unclassified: genetic information processing,Unclassified: genetic information processing,Genetic Info,09192 Unclassified: genetic information processing,Unclassified: genetic information processing,NA
09111,0.23087163676506547,0.7456718532262137,0.8758087482399662,8,37,is_de,sub,C2vsC1_prot,HOT1A3,09100 Metabolism,09111 Xenobiotics biodegradation and metabolism,Xenobiotics biodegradation and,Metabolism,09111 Xenobiotics biodegradation and metabolism,Xenobiotics biodegradation and metabolism,NA
09143,0.2485572844087379,0.7456718532262137,0.8900731284028437,5,18,is_de,sub,C2vsC1_prot,HOT1A3,09140 Cellular Processes,09143 Cell growth and death,Cell growth and death,Env. Info/Cellular Process,09143 Cell growth and death,Cell growth and death,NA
09132,0.29971994022093745,0.8016073454664863,0.7864857981896962,19,99,is_de,sub,C2vsC1_prot,HOT1A3,09130 Environmental Information Processing,09132 Signal transduction,Signal transduction,Env. Info/Cellular Process,09132 Signal transduction,Signal transduction,NA
09191,0.32658077037523514,0.8016073454664863,0.7699551956222884,16,89,is_de,sub,C2vsC1_prot,HOT1A3,09190 Not Included in Pathway or Brite,09191 Unclassified: metabolism,Unclassified:,Energy/Carbohydrate/Glycan,09191 Unclassified: metabolism,Unclassified: metabolism,NA
09108,0.3628899239664364,0.8165023289244818,0.7375361351727295,16,102,is_de,sub,C2vsC1_prot,HOT1A3,09100 Metabolism,09108 Metabolism of cofactors and vitamins,cofactors and vitamins,Metabolism,09108 Metabolism of cofactors and vitamins,Metabolism of cofactors and vitamins,NA
09104,0.609952567368207,1,0.5213773328061935,11,72,is_de,sub,C2vsC1_prot,HOT1A3,09100 Metabolism,09104 Nucleotide metabolism,Nucleotide,AA/Nucleotide,09104 Nucleotide metabolism,Nucleotide metabolism,NA
09141,0.6964303507935021,1,0.5944749000495404,2,12,is_de,sub,C2vsC1_prot,HOT1A3,09140 Cellular Processes,09141 Transport and catabolism,Transport and catabolism,Env. Info/Cellular Process,09141 Transport and catabolism,Transport and catabolism,NA
09109,0.806801506215058,1,0.3879520983680911,3,28,is_de,sub,C2vsC1_prot,HOT1A3,09100 Metabolism,09109 Metabolism of terpenoids and polyketides,terpenoids and polyketides,Metabolism,09109 Metabolism of terpenoids and polyketides,Metabolism of terpenoids and polyketides,NA
09181,0.8588912500550243,1,0.1932559292934504,30,184,is_de,sub,C2vsC1_prot,HOT1A3,09180 Brite Hierarchies,09181 Protein families: metabolism,Protein families:,Metabolism,09181 Protein families: metabolism,Protein families: metabolism,NA
09110,0.868669638380908,1,0.26756431954653487,4,38,is_de,sub,C2vsC1_prot,HOT1A3,09100 Metabolism,09110 Biosynthesis of other secondary metabolites,other secondary metabolites,Metabolism,09110 Biosynthesis of other secondary metabolites,Biosynthesis of other secondary metabolites,NA
09106,0.8687187905231619,1,0.23316383785084294,7,55,is_de,sub,C2vsC1_prot,HOT1A3,09100 Metabolism,09106 Metabolism of other amino acids,other amino acids,AA/Nucleotide,09106 Metabolism of other amino acids,Metabolism of other amino acids,NA
09123,0.8840045788159616,1,0.24542235739565157,4,31,is_de,sub,C2vsC1_prot,HOT1A3,09120 Genetic Information Processing,"09123 Folding, sorting and degradation","Folding, sorting and degradation",Genetic Info,"09123 Folding, sorting and degradation","Folding, sorting and degradation",NA
09193,0.8972771373354176,1,0.2070345203665706,5,45,is_de,sub,C2vsC1_prot,HOT1A3,09190 Not Included in Pathway or Brite,09193 Unclassified: signaling and cellular processes,Unclassified: signaling and cellular processes,Env. Info/Cellular Process,09193 Unclassified: signaling and cellular processes,Unclassified: signaling and cellular processes,NA
09194,0.9016449152913266,1,0.18912088970038757,6,60,is_de,sub,C2vsC1_prot,HOT1A3,09190 Not Included in Pathway or Brite,09194 Poorly characterized,Poorly characterized,Uncharacterized,09194 Poorly characterized,Poorly characterized,NA
09103,0.9298384713525703,1,0.14315623903498434,6,56,is_de,sub,C2vsC1_prot,HOT1A3,09100 Metabolism,09103 Lipid metabolism,Lipid,Metabolism,09103 Lipid metabolism,Lipid metabolism,NA
09182,0.9604096037468173,1,0.056301337335995245,49,380,is_de,sub,C2vsC1_prot,HOT1A3,09180 Brite Hierarchies,09182 Protein families: genetic information processing,Protein families: genetic information processing,Genetic Info,09182 Protein families: genetic information processing,Protein families: genetic information processing,NA
09131,0.971680280898665,1,0.07519604928961938,4,52,is_de,sub,C2vsC1_prot,HOT1A3,09130 Environmental Information Processing,09131 Membrane transport,Membrane transport,Membrane transport,09131 Membrane transport,Membrane transport,NA
09107,0.9728662313628362,1,0.07268272851393154,4,50,is_de,sub,C2vsC1_prot,HOT1A3,09100 Metabolism,09107 Glycan biosynthesis and metabolism,Glycan  and,Energy/Carbohydrate/Glycan,09107 Glycan biosynthesis and metabolism,Glycan biosynthesis and metabolism,NA
09145,0.995159109823778,1,0.014707847639763563,5,68,is_de,sub,C2vsC1_prot,HOT1A3,09140 Cellular Processes,09145 Cellular community - prokaryotes,Cellular community - prokaryotes,Env. Info/Cellular Process,09145 Cellular community - prokaryotes,Cellular community - prokaryotes,NA
09124,1,1,2.419298820675094e-4,0,36,is_de,sub,C2vsC1_prot,HOT1A3,09120 Genetic Information Processing,09124 Replication and repair,Replication and repair,Genetic Info,09124 Replication and repair,Replication and repair,NA
03010,7.3506098884589486e-6,4.704390328613727e-4,0.9999984398602779,18,51,is_de,path,C2vsC1_prot,HOT1A3,09120 Genetic Information Processing,09122 Translation,Translation,Genetic Info,03010 Ribosome [PATH:ko03010],Ribosome,03010 Ribosome [PATH:ko03010]
03011,7.3506098884589486e-6,4.704390328613727e-4,0.9999984398602779,18,51,is_de,path,C2vsC1_prot,HOT1A3,09180 Brite Hierarchies,09182 Protein families: genetic information processing,Protein families: genetic information processing,Genetic Info,03011 Ribosome [BR:ko03011],Ribosome,03011 Ribosome [BR:ko03011]
00260,5.278061706632981e-4,0.022519729948300718,0.9998963008022868,11,25,is_de,path,C2vsC1_prot,HOT1A3,09100 Metabolism,09105 Amino acid metabolism,Amino acid,AA/Nucleotide,"00260 Glycine, serine and threonine metabolism [PATH:ko00260]","Glycine, serine and threonine metabolism","00260 Glycine, serine and threonine metabolism [PATH:ko00260]"
00290,0.0030225422498612402,0.09672135199555969,0.999551889885525,7,13,is_de,path,C2vsC1_prot,HOT1A3,09100 Metabolism,09105 Amino acid metabolism,Amino acid,AA/Nucleotide,"00290 Valine, leucine and isoleucine biosynthesis [PATH:ko00290]","Valine, leucine and isoleucine biosynthesis","00290 Valine, leucine and isoleucine biosynthesis [PATH:ko00290]"
02000,0.007058453940488215,0.18069642087649831,0.9959053680248411,48,184,is_de,path,C2vsC1_prot,HOT1A3,09180 Brite Hierarchies,09183 Protein families: signaling and cellular processes,Protein families: signaling and cellular processes,Membrane transport,02000 Transporters [BR:ko02000],Transporters,02000 Transporters [BR:ko02000]
00280,0.014996203614634968,0.31991901044554594,0.9955372188334431,9,26,is_de,path,C2vsC1_prot,HOT1A3,09100 Metabolism,09105 Amino acid metabolism,Amino acid,AA/Nucleotide,"00280 Valine, leucine and isoleucine degradation [PATH:ko00280]","Valine, leucine and isoleucine degradation","00280 Valine, leucine and isoleucine degradation [PATH:ko00280]"
04066,0.024077127833009936,0.39769332549097086,0.9980803460519848,3,5,is_de,path,C2vsC1_prot,HOT1A3,09130 Environmental Information Processing,09132 Signal transduction,Signal transduction,Env. Info/Cellular Process,04066 HIF-1 signaling pathway [PATH:ko04066],HIF-1 signaling pathway,04066 HIF-1 signaling pathway [PATH:ko04066]
00680,0.02485583284318568,0.39769332549097086,0.9932879919598774,7,19,is_de,path,C2vsC1_prot,HOT1A3,09100 Metabolism,09102 Energy metabolism,Energy,Energy/Carbohydrate/Glycan,00680 Methane metabolism [PATH:ko00680],Methane metabolism,00680 Methane metabolism [PATH:ko00680]
00350,0.035995158452437115,0.5119311424346612,0.9960371968126585,3,6,is_de,path,C2vsC1_prot,HOT1A3,09100 Metabolism,09105 Amino acid metabolism,Amino acid,AA/Nucleotide,00350 Tyrosine metabolism [PATH:ko00350],Tyrosine metabolism,00350 Tyrosine metabolism [PATH:ko00350]
