category,over_represented_pvalue,padj,under_represented_pvalue,numDEInCat,numInCat,type,enrich,contrast,organism,main,sub,module,Category,PATH,pathway,path
09122,2.9620179630750605e-11,7.997448500302663e-10,1,25,76,down,sub,C2vsC1_prot,HOT1A3,09120 Genetic Information Processing,09122 Translation,Translation,Genetic Info,09122 Translation,Translation,NA
09182,2.9543134004970803e-4,0.0039883230906710586,0.9998622518327231,47,380,down,sub,C2vsC1_prot,HOT1A3,09180 Brite Hierarchies,09182 Protein families: genetic information processing,Protein families: genetic information processing,Genetic Info,09182 Protein families: genetic information processing,Protein families: genetic information processing,NA
09105,7.75678103913339e-4,0.006981102935220051,0.999684390021791,26,170,down,sub,C2vsC1_prot,HOT1A3,09100 Metabolism,09105 Amino acid metabolism,Amino acid,AA/Nucleotide,09105 Amino acid metabolism,Amino acid metabolism,NA
09102,0.004319859089719666,0.023341139548790142,0.9983625910628962,16,96,down,sub,C2vsC1_prot,HOT1A3,09100 Metabolism,09102 Energy metabolism,Energy,Energy/Carbohydrate/Glycan,09102 Energy metabolism,Energy metabolism,NA
09142,0.004322433249775952,0.023341139548790142,0.9987030974154216,11,54,down,sub,C2vsC1_prot,HOT1A3,09140 Cellular Processes,09142 Cell motility,Cell motility,Motility,09142 Cell motility,Cell motility,NA
09132,0.03774030209589055,0.16983135943150746,0.982170279241246,14,99,down,sub,C2vsC1_prot,HOT1A3,09130 Environmental Information Processing,09132 Signal transduction,Signal transduction,Env. Info/Cellular Process,09132 Signal transduction,Signal transduction,NA
09101,0.08785073185204995,0.33885282285790697,0.9476673641378621,20,165,down,sub,C2vsC1_prot,HOT1A3,09100 Metabolism,09101 Carbohydrate metabolism,Carbohydrate,Energy/Carbohydrate/Glycan,09101 Carbohydrate metabolism,Carbohydrate metabolism,NA
09143,0.24422414912124507,0.7666090671364345,0.9147327347626789,3,18,down,sub,C2vsC1_prot,HOT1A3,09140 Cellular Processes,09143 Cell growth and death,Cell growth and death,Env. Info/Cellular Process,09143 Cell growth and death,Cell growth and death,NA
09123,0.3470119797093105,0.7666090671364345,0.8302334233432471,4,31,down,sub,C2vsC1_prot,HOT1A3,09120 Genetic Information Processing,"09123 Folding, sorting and degradation","Folding, sorting and degradation",Genetic Info,"09123 Folding, sorting and degradation","Folding, sorting and degradation",NA
09181,0.35135855011722317,0.7666090671364345,0.7413195950366925,19,184,down,sub,C2vsC1_prot,HOT1A3,09180 Brite Hierarchies,09181 Protein families: metabolism,Protein families:,Metabolism,09181 Protein families: metabolism,Protein families: metabolism,NA
09108,0.35343930067667884,0.7666090671364345,0.7720394120877346,9,102,down,sub,C2vsC1_prot,HOT1A3,09100 Metabolism,09108 Metabolism of cofactors and vitamins,cofactors and vitamins,Metabolism,09108 Metabolism of cofactors and vitamins,Metabolism of cofactors and vitamins,NA
