Plate information 
Plate,Repeat,Barcode,Measurement date,Inside temperature at start,Inside temperature at end,Ambient temperature at start,Ambient temperature at end,
1,1,="",24/10/2021 14:42:39,22.75,22.8,23.9,24.1,


Background information
Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,
1,Meas A,0,287654,76,00:00:00.000,De=1st Ex=Btm Em=N/A,



Well,Sample,MeasA:Result,
Assay Exported: ,,,,24/10/2021 14:44:05
Assay Started By: ,,,,N/A
Protocol ID: ,,,,100119
Protocol Name: ,,,,Osnat OD600
Serial#: ,,,,="23000335"



Protocol information
Protocol:
Protocol name,,,,Osnat OD600
Number of assay repeats,,,,1
Start assay repeat each,,,,N/A
Number of plate repeats,,,,1
Start plate repeat each,,,,N/A
Mode of measurement,,,,By Rows  bi-directional
Rotated plate,,,,No
Soft move,,,,Yes
Protocol notes,,,, 

Plate type:
Name of the plate type,,,,96 General
Number of rows,,,,8
Number of columns,,,,12
Number of the wells in the plate,,,,96
Height of the plate,,,,14.35 mm
Diameter of the well,,,,6.5 mm
Volume of the well,,,,300 µl

Coordinates of corners:
96 General
14.38 mm x------------------------------------------------------ x 113.38 mm
11.24 mm                                                           11.24 mm

14.38 mm x------------------------------------------------------ x 113.38 mm
74.24 mm                                                           74.24 mm

Platemap:
Plate,,,,1

,01,02,03,04,05,06,07,08,09,10,11,12,
A,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
B,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
C,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
D,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
E,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
F,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
G,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
H,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 

 - - Undefined

Calculations:
No calculations.

Auto export parameters:
Export format,,,,ListC
Picture,,,,No
Add plate number to the file name,,,,Yes
Each plate to separate file,,,,No
Field separator to use,,,,System
File name format,,,,C:\Users\Inspire\Desktop\Osnat\cc1A3\p_d0.csv
Exported data,,,,Well Sample MeasA:Result

Operations:
Plate 1
  Measurement
    Meas,,,,A
    Tech,,,,Absorbance

Measurements:
Meas ,,,,A
Exc. filter,,,,N/A
Excitation wavelength,,,,600 nm
Measurement height,,,,7.5 mm
Number of flashes,,,,100
Number of flashes integrated,,,,38
Flash power,,,,100 %
Excitation light,,,,100%
Reference excitation light,,,,100%
Reference AD gain,,,,1
Reference signal,,,,64670
Last edited,,,,21/10/2021 21:22:48
Last edited by,,,,EnSpire
Factory preset,,,,No

Filters:
Monochromator cutoff 230,,,,140
Filter polarization,,,,None
Description,,,,X230co Longpass=230nm  Tmin=90%
Used with
Last edited,,,,01/01/2011
Last edited by,,,,Installation
Factory preset,,,,Yes

Monochromator cutoff 360,,,,141
Filter polarization,,,,None
Description,,,,X360co Longpass=360nm  Tmin=90%
Used with
Last edited,,,,01/01/2011
Last edited by,,,,Installation
Factory preset,,,,Yes

Monochromator cutoff 585,,,,142
Filter polarization,,,,None
Description,,,,X585co Longpass=585nm  Tmin=75%
Used with
Last edited,,,,01/01/2011
Last edited by,,,,Installation
Factory preset,,,,Yes

Instrument:
Serial number,,,,23000335
Nickname,,,,EnSpire






Exported with EnSpire Workstation version 4.13.3005.1482
